iter	RMSE
0	4.232660787
1	4.138757314
2	4.048298622
3	3.961800653
4	3.878011811
5	3.801909208
6	3.728981197
7	3.659031315
8	3.591214761
9	3.527972271
10	3.46819877
11	3.413848268
12	3.360094119
13	3.303774723
14	3.249324638
15	3.199451957
16	3.15326061
17	3.107445036
18	3.064448028
19	3.023777856
20	2.985967017
21	2.948083842
22	2.911360329
23	2.877283806
24	2.843952752
25	2.811460195
26	2.782322164
27	2.752900709
28	2.72052813
29	2.693815497
30	2.665125852
31	2.639941013
32	2.616427294
33	2.59374546
34	2.571771572
35	2.550785238
36	2.53235941
37	2.512073689
38	2.492945981
39	2.475187432
40	2.457812484
41	2.442580813
42	2.426415297
43	2.410423677
44	2.394595804
45	2.378174895
46	2.362783008
47	2.349231377
48	2.335306865
49	2.322454867
50	2.309664958
51	2.297785981
52	2.285755399
53	2.274403782
54	2.262977413
55	2.251009819
56	2.239609883
57	2.230004686
58	2.22088318
59	2.210955772
60	2.201120982
61	2.191583785
62	2.182046591
63	2.173311442
64	2.162845685
65	2.154147857
66	2.145315376
67	2.137551866
68	2.128909756
69	2.122581907
70	2.114620293
71	2.106804146
72	2.099961493
73	2.092529191
74	2.086143081
75	2.077493493
76	2.07012447
77	2.063311453
78	2.05638043
79	2.050404932
80	2.044421614
81	2.037177832
82	2.031339577
83	2.02494097
84	2.019175922
85	2.012772252
86	2.006838465
87	2.000860772
88	1.996032639
89	1.990937543
90	1.986102481
91	1.980631468
92	1.975386586
93	1.969821989
94	1.96500363
95	1.960096471
96	1.959325696
97	1.954330363
98	1.950148652
99	1.946046335
100	1.941021421
101	1.937233904
102	1.933936903
103	1.931129962
104	1.93001339
105	1.925614138
106	1.925135447
107	1.920428706
108	1.919915922
109	1.916974806
110	1.913160897
111	1.910627861
112	1.907632076
113	1.903960504
114	1.902437952
115	1.898630815
116	1.896316581
117	1.893963451
118	1.89329595
119	1.890221528
120	1.889550199
121	1.887121062
122	1.886772525
123	1.883839644
124	1.883364289
125	1.880373488
126	1.879943059
127	1.879727683
128	1.876918001
129	1.874739543
130	1.874400866
131	1.874130928
132	1.871617013
133	1.869295683
134	1.867914344
135	1.865020964
136	1.863469448
137	1.863191472
138	1.860604579
139	1.858300359
140	1.856418538
141	1.856223557
142	1.853638648
143	1.851758585
144	1.849449727
145	1.849180446
146	1.848487104
147	1.845610983
148	1.842900024
149	1.841873392
150	1.838790289
151	1.836504953
152	1.836376798
153	1.835842848
154	1.834171913
155	1.831100518
156	1.830045809
157	1.828906355
158	1.825647128
159	1.825428715
160	1.824355036
161	1.822779029
162	1.822571915
163	1.819935793
164	1.819546054
165	1.819216482
166	1.818608398
167	1.815411497
168	1.813049836
169	1.810495062
170	1.809417794
171	1.807855604
172	1.807351784
173	1.806874466
174	1.806294399
175	1.805552021
176	1.804629678
177	1.803676661
178	1.802481627
179	1.801734401
180	1.799561392
181	1.796863793
182	1.794530983
183	1.794031713
184	1.793725592
185	1.793115451
186	1.792918689
187	1.791827095
188	1.791123785
189	1.790776938
190	1.789082592
191	1.785994967
192	1.785792029
193	1.784130349
194	1.783397831
195	1.781821236
196	1.781090129
197	1.780066799
198	1.778452463
199	1.777862834
200	1.777355501
201	1.776560414
202	1.77419144
203	1.772252788
204	1.771788855
205	1.771221544
206	1.769726386
207	1.769089698
208	1.767532303
209	1.766788779
210	1.766354145
211	1.764357917
212	1.762059472
213	1.759338849
214	1.758718788
215	1.757544927
216	1.756738884
217	1.75608873
218	1.755687351
219	1.755097535
220	1.752804132
221	1.750871163
222	1.750354248
223	1.749657785
224	1.749149631
225	1.747397098
226	1.745174357
227	1.742491917
228	1.742219181
229	1.741121209
230	1.740421216
231	1.739988307
232	1.739744637
233	1.738494602
234	1.737606175
235	1.737358357
236	1.736865695
237	1.736549874
238	1.736197417
239	1.73584787
240	1.734464736
241	1.733095053
242	1.730755491
243	1.729526248
244	1.727111598
245	1.726020822
246	1.724845824
247	1.722899167
248	1.721538128
249	1.720973279
250	1.720819467
251	1.720259676
252	1.719322069
253	1.717526041
254	1.714208717
255	1.713824209
256	1.712433522
257	1.710885185
258	1.709583797
259	1.706888295
260	1.706483392
261	1.703900587
262	1.702275137
263	1.701823403
264	1.701440989
265	1.701179816
266	1.700359276
267	1.699726208
268	1.699366066
269	1.698808059
270	1.697945339
271	1.696789655
272	1.695298293
273	1.693401821
274	1.692446591
275	1.691559798
276	1.691206307
277	1.690531336
278	1.690170529
279	1.687656151
280	1.687359095
281	1.685024054
282	1.684342648
283	1.684080182
284	1.683058989
285	1.682100184
286	1.68173989
287	1.681237889
288	1.680985915
289	1.679590307
290	1.677929704
291	1.67765093
292	1.67645136
293	1.675391145
294	1.675066622
295	1.671655728
296	1.670207913
297	1.669175893
298	1.667694813
299	1.667140804
300	1.666618127
301	1.665198811
302	1.664954065
303	1.664509601
304	1.663040735
305	1.662562641
306	1.661492556
307	1.66105958
308	1.660015121
309	1.659423812
310	1.659159949
311	1.657195459
312	1.656325218
313	1.65557161
314	1.654252046
315	1.653023634
316	1.651451397
317	1.649983175
318	1.649496521
319	1.649285213
320	1.648439527
321	1.647077398
322	1.646837784
323	1.645370727
324	1.644755344
325	1.643596256
326	1.642165938
327	1.641259988
328	1.640693103
329	1.640186449
330	1.639692808
331	1.638330179
332	1.638025222
333	1.636957542
334	1.63612942
335	1.635840918
336	1.635024567
337	1.634318908
338	1.633970044
339	1.633757611
340	1.632485375
341	1.631999037
342	1.630065189
343	1.62926562
344	1.628432891
345	1.627559451
346	1.626453072
347	1.625938647
348	1.624968358
349	1.624267343
350	1.624130613
351	1.623049522
352	1.622090894
353	1.621630313
354	1.62119118
355	1.619851494
356	1.619635517
357	1.619247814
358	1.61723216
359	1.616530349
360	1.615951586
361	1.615184766
362	1.613727098
363	1.612975917
364	1.612661653
365	1.612274562
366	1.611544716
367	1.610798922
368	1.610612276
369	1.610405692
370	1.608287699
371	1.607567136
372	1.607121878
373	1.605805003
374	1.604516842
375	1.60401877
376	1.602462592
377	1.602070322
378	1.601239075
379	1.599662363
380	1.598997203
381	1.598222493
382	1.598046878
383	1.597448425
384	1.595574401
385	1.594413843
386	1.593614559
387	1.593431986
388	1.5931146
389	1.592701109
390	1.591509811
391	1.590947235
392	1.589293787
393	1.58841778
394	1.588205372
395	1.587441264
396	1.587160717
397	1.58613988
398	1.585056499
399	1.584481262
400	1.583802436
401	1.582686994
402	1.582354676
403	1.581625235
404	1.580452104
405	1.580323492
406	1.579862606
407	1.57927289
408	1.578932036
409	1.578337269
410	1.578042825
411	1.577740099
412	1.577572835
413	1.576993274
414	1.576454929
415	1.57589126
416	1.575503631
417	1.574460343
418	1.573726746
419	1.573076984
420	1.572496745
421	1.57193884
422	1.57079605
423	1.569687041
424	1.569298286
425	1.56849646
426	1.567929033
427	1.567424933
428	1.565541165
429	1.565019041
430	1.56493319
431	1.564618484
432	1.564166818
433	1.562277869
434	1.561847046
435	1.560825874
436	1.559943089
437	1.55869908
438	1.557977751
439	1.557212904
440	1.556507055
441	1.556017977
442	1.555651389
443	1.554874522
444	1.553415832
445	1.552608262
446	1.55168091
447	1.551206381
448	1.550718028
449	1.550439076
450	1.548874761
451	1.548227301
452	1.546872599
453	1.546155883
454	1.545912905
455	1.544404869
456	1.543614967
457	1.542348367
458	1.541562529
459	1.539852869
460	1.539144437
461	1.538555623
462	1.537448062
463	1.536877497
464	1.536286748
465	1.535884353
466	1.534271242
467	1.533838853
468	1.532329049
469	1.531428347
470	1.530446438
471	1.529592353
472	1.529029959
473	1.528954067
474	1.528561895
475	1.527398414
476	1.526864644
477	1.525667476
478	1.525527734
479	1.524989058
480	1.523790853
481	1.523655099
482	1.52257174
483	1.521546065
484	1.520296769
485	1.520078741
486	1.519800428
487	1.519652575
488	1.518588686
489	1.518094081
490	1.518002316
491	1.516908316
492	1.516011612
493	1.515119557
494	1.514620038
495	1.514483125
496	1.513909864
497	1.513048727
498	1.511742028
499	1.511617805
500	1.511491064
501	1.509959959
502	1.509503501
503	1.50938407
504	1.509268061
505	1.508823988
506	1.508578313
507	1.508465532
508	1.507380242
509	1.507270931
510	1.506818908
511	1.506528816
512	1.505706581
513	1.505604725
514	1.505322745
515	1.504734163
516	1.504463685
517	1.503965501
518	1.502810242
519	1.502014115
520	1.501751886
521	1.501656294
522	1.501246625
523	1.50055722
524	1.499437936
525	1.499208899
526	1.498475779
527	1.498381294
528	1.498133126
529	1.497509761
530	1.497078188
531	1.496927059
532	1.496289434
533	1.495837721
534	1.495618326
535	1.495381513
536	1.49515016
537	1.494945852
538	1.494370573
539	1.494149046
540	1.493895411
541	1.492906133
542	1.492148604
543	1.491716984
544	1.49111133
545	1.490763776
546	1.490568658
547	1.49035352
548	1.489494051
549	1.488709216
550	1.488375596
551	1.487966537
552	1.487579669
553	1.48726458
554	1.487174006
555	1.486329969
556	1.48594955
557	1.485717602
558	1.485313192
559	1.484577918
560	1.483825828
561	1.483605647
562	1.482148828
563	1.481126854
564	1.48018711
565	1.479430402
566	1.478450744
567	1.478363454
568	1.478151431
569	1.477106559
570	1.476901034
571	1.476563411
572	1.475394997
573	1.474462012
574	1.47437495
575	1.473240441
576	1.473155822
577	1.472036225
578	1.471851457
579	1.470812043
580	1.470727513
581	1.4699634
582	1.468917508
583	1.468836479
584	1.468619118
585	1.468255209
586	1.467355296
587	1.467093452
588	1.466995366
589	1.466878115
590	1.466793253
591	1.466735764
592	1.466300249
593	1.464804704
594	1.464613362
595	1.464439656
596	1.462994537
597	1.462918429
598	1.462752914
599	1.461903527
600	1.461829448
601	1.46162743
602	1.461450401
603	1.461363089
604	1.460015952
605	1.459510407
606	1.459340302
607	1.45924597
608	1.45852899
609	1.458335381
610	1.45825035
611	1.457023599
612	1.456866844
613	1.455875815
614	1.455787285
615	1.455107931
616	1.454927327
617	1.454820764
618	1.45440279
619	1.453355694
620	1.453321344
621	1.453034146
622	1.452932062
623	1.452862905
624	1.451804914
625	1.451077271
626	1.450132515
627	1.448946189
628	1.44795066
629	1.447187072
630	1.447036502
631	1.446310643
632	1.44483898
633	1.444757678
634	1.444617364
635	1.444400759
636	1.443583167
637	1.443445696
638	1.443347985
639	1.441949888
640	1.441815592
641	1.441201732
642	1.440432737
643	1.439566047
644	1.438802341
645	1.437715622
646	1.437562464
647	1.437468698
648	1.437293561
649	1.436106611
650	1.435237
651	1.434688721
652	1.433821664
653	1.433632122
654	1.432680503
655	1.432604937
656	1.432473835
657	1.432443782
658	1.430962609
659	1.43040547
660	1.42961681
661	1.429284233
662	1.428905252
663	1.427497193
664	1.427421232
665	1.426845683
666	1.426780729
667	1.425691619
668	1.424722138
669	1.424063995
670	1.423799712
671	1.423710777
672	1.423288029
673	1.423226061
674	1.422449978
675	1.422363521
676	1.42204015
677	1.421542746
678	1.420369022
679	1.419947966
680	1.419863168
681	1.419243611
682	1.418133942
683	1.417202103
684	1.416965622
685	1.416898464
686	1.416541798
687	1.41646006
688	1.416028053
689	1.415922988
690	1.415776303
691	1.415711168
692	1.415533135
693	1.415476014
694	1.414501375
695	1.414423505
696	1.413173761
697	1.413146893
698	1.413075593
699	1.412160567
700	1.411956906
701	1.411894349
702	1.411292491
703	1.411238854
704	1.411212724
705	1.411042003
706	1.410089775
707	1.409181975
708	1.408138462
709	1.407845984
710	1.407820437
711	1.407075273
712	1.407002123
713	1.406829265
714	1.40676926
715	1.406271422
716	1.40624649
717	1.40483685
718	1.404741453
719	1.404174868
720	1.402707643
721	1.402337329
722	1.401927286
723	1.401703976
724	1.401643635
725	1.40157441
726	1.401355748
727	1.400099716
728	1.399923372
729	1.399710008
730	1.399501107
731	1.399476608
732	1.39927206
733	1.399150524
734	1.399059682
735	1.398206534
736	1.397889464
737	1.397209573
738	1.396614974
739	1.396527429
740	1.396469049
741	1.396445046
742	1.396212762
743	1.396096942
744	1.395129959
745	1.39506426
746	1.394796137
747	1.394443247
748	1.394188113
749	1.393892047
750	1.393255194
751	1.392372909
752	1.391204859
753	1.390583706
754	1.390012983
755	1.38995719
756	1.388429346
757	1.388405913
758	1.387574138
759	1.387276131
760	1.387003307
761	1.386980342
762	1.38691661
763	1.386182279
764	1.385185437
765	1.384721093
766	1.384698651
767	1.384064644
768	1.38317901
769	1.382705423
770	1.3824084
771	1.381671032
772	1.381268124
773	1.38108283
774	1.380130881
775	1.379949178
776	1.379685169
777	1.3795388
778	1.378838202
779	1.377908625
780	1.377886542
781	1.377052967
782	1.375730162
783	1.375413653
784	1.374174187
785	1.373761043
786	1.372406342
787	1.372151722
788	1.371867469
789	1.37094847
790	1.37080675
791	1.369577945
792	1.368410967
793	1.368208379
794	1.367276028
795	1.367058319
796	1.366951101
797	1.36629342
798	1.365608369
799	1.365352231
800	1.365330738
801	1.364828897
802	1.364712697
803	1.364450434
804	1.363939238
805	1.362673893
806	1.361773502
807	1.361617143
808	1.36136364
809	1.360664692
810	1.360643505
811	1.360540137
812	1.359321841
813	1.358578364
814	1.357425437
815	1.357319868
816	1.357268214
817	1.357010498
818	1.35698974
819	1.356743062
820	1.356294075
821	1.355223505
822	1.354974753
823	1.354609323
824	1.354257802
825	1.35294104
826	1.352053372
827	1.351529534
828	1.350384533
829	1.349669243
830	1.349649029
831	1.349320824
832	1.348463579
833	1.348058406
834	1.347245894
835	1.346576393
836	1.346015703
837	1.345120981
838	1.344682527
839	1.344662657
840	1.343496998
841	1.34318424
842	1.343164772
843	1.34303621
844	1.342510482
845	1.342358986
846	1.342235563
847	1.341778314
848	1.341737417
849	1.340706908
850	1.340471686
851	1.33981902
852	1.338758698
853	1.33873218
854	1.338682216
855	1.338578944
856	1.338433852
857	1.338254706
858	1.338235866
859	1.337581923
860	1.337087469
861	1.337062032
862	1.336945747
863	1.336735336
864	1.336710565
865	1.336468413
866	1.335841644
867	1.335249757
868	1.334331051
869	1.333645935
870	1.333002794
871	1.332984377
872	1.332370079
873	1.332212819
874	1.331185045
875	1.330832747
876	1.330281126
877	1.330148424
878	1.329390818
879	1.329375643
880	1.329261766
881	1.328532417
882	1.327814611
883	1.327325067
884	1.326577549
885	1.326355106
886	1.326226641
887	1.325668329
888	1.325503452
889	1.325248574
890	1.324393132
891	1.323665676
892	1.323215909
893	1.322953497
894	1.322489621
895	1.322474962
896	1.321908155
897	1.321878568
898	1.321267533
899	1.321238559
900	1.320727253
901	1.320695542
902	1.320155576
903	1.319706863
904	1.319465489
905	1.31892752
906	1.318374879
907	1.31782519
908	1.317495602
909	1.317196022
910	1.317100145
911	1.31676031
912	1.316448376
913	1.316298923
914	1.316088389
915	1.315825019
916	1.315227913
917	1.314616617
918	1.314471184
919	1.314441002
920	1.314193446
921	1.313535645
922	1.312741321
923	1.311925959
924	1.31178485
925	1.311019856
926	1.310988092
927	1.310758558
928	1.309907014
929	1.309878433
930	1.309316485
931	1.308262878
932	1.308126271
933	1.307934178
934	1.307398257
935	1.307265827
936	1.307177396
937	1.306450247
938	1.306208237
939	1.306180953
940	1.306154232
941	1.306071488
942	1.305530754
943	1.305453624
944	1.305427804
945	1.304756791
946	1.304172539
947	1.303950298
948	1.302697154
949	1.30266914
950	1.302322214
951	1.301990901
952	1.301871183
953	1.300783381
954	1.300666425
955	1.300591009
956	1.300377554
957	1.300290693
958	1.30002038
959	1.299774551
960	1.299719401
961	1.299268333
962	1.298925534
963	1.298685992
964	1.29821551
965	1.297637774
966	1.297585097
967	1.297377376
968	1.296782525
969	1.296031069
970	1.295266237
971	1.294748017
972	1.294429721
973	1.294232744
974	1.294091328
975	1.293773701
976	1.293571002
977	1.293018021
978	1.292624823
979	1.292591551
980	1.29244479
981	1.292386335
982	1.292345456
983	1.292153918
984	1.291375152
985	1.291318662
986	1.290665145
987	1.290151567
988	1.289709441
989	1.28960981
990	1.289058625
991	1.288622991
992	1.288583118
993	1.288022858
994	1.287522059
995	1.287233464
996	1.286743856
997	1.28660096
998	1.285924536
999	1.2854701
